filename,reference,hypothesis,sample_wer_%,sample_cer_%
41893803.wav,There are potatoes in this sac,There are potatoes in this shopper,16.67,20.0
41894051.wav,I will not go to the party,I will not go to the party,0.0,0.0
41894120.wav,It is good to sit in the sun during winters,Sitting in the sun in winter is so sweet,90.0,69.77
41894162.wav,You will get tired,Are you tired?,100.0,66.67
41894181.wav,Which way should i chose,I will buy anything,100.0,83.33
41894271.wav,I miss you,You are my sweetheart,133.33,180.0
41894410.wav,How much do you charge for a day,How much do you take per day?,50.0,28.12
41894447.wav,sit down,Sit down,50.0,12.5
41894481.wav,I brush my teeth twice everyday,I brush my teeth twice a day,33.33,16.13
41895341.wav,you are a sweetheart,You are my sweet heart,100.0,20.0
41895342.wav,for how much will you give me,How much will you do for me?,71.43,41.38
41895351.wav,friend teaches us brushaski,Piyar is killing us with his arrows,150.0,103.7
41895441.wav,"I can not understand what you are saying, speak louder",I don’t understand what you are saying.,50.0,35.19
41895643.wav,I also enjoy listening to stories,I also enjoy listening to stories,0.0,0.0
41895650.wav,My house is small,My house is small,0.0,0.0
41895662.wav,Snowflakes are falling,The door is opened by the doorstep.,233.33,136.36
41895668.wav,Its snowing,It is snowing.,150.0,27.27
41895670.wav,The rice is on low flame,The rice is simmering,50.0,50.0
41895675.wav,There is a comb,There is one girl,50.0,46.67
41895679.wav,A man is killing a cow,A man is killing a cow,0.0,0.0
41895684.wav,I finished my rice when the tailor called,I called the tailor because I didn’t have enough rice,112.5,97.56
41895687.wav,I always buy food,I buy food everyday,50.0,94.12
41895688.wav,Its peaceful,There is peace too,200.0,91.67
41896167.wav,The horse disappeared from under her,That horse disappeared from before,50.0,25.0
41896168.wav,Apricot juice is best during summers.,The apricot juice made in spring tastes very good,133.33,72.97
41896173.wav,Where have you come from?,Where did you come from?,20.0,16.0
41896181.wav,Dont panic,Don’t rush,100.0,60.0
41896184.wav,The milk boiled over,The milk boiled over.,25.0,5.0
41896185.wav,It flew onto the roof of a nearby house,It flew to the nearby house,44.44,30.77
41896189.wav,I can’t go to the park,I can not go to the park,33.33,13.64
41896198.wav,Is he your friend?,Is he your friend?,0.0,0.0
41896209.wav,Close the door,Close the door,0.0,0.0
41896224.wav,"Seeing him, the old woman was shocked",He left without informing anyone,100.0,75.68
41896229.wav,I’ll be back after staying a few days,I will stay here for a few days,62.5,54.05
41896233.wav,What is its price?/How much is it?,How much is this for?,85.71,76.47
41896238.wav,There is a woman,There is a woman,0.0,0.0
41896243.wav,She hopped on the horse,She carried it on her back,80.0,65.22
41896262.wav,How are you cooking the flatbread(roti/chapati),How are you making chapati/ roti,50.0,46.81
41896267.wav,Bring it,Bring it,0.0,0.0
41896268.wav,Do you miss me?,Are you missing (him/her),75.0,86.67
41896275.wav,I will not go,I will not go,0.0,0.0
41896286.wav,I will eat rice,I will eat rice,0.0,0.0
41896290.wav,Come now,Come now,0.0,0.0
41896306.wav,I punched him,I hit him with a stick,133.33,123.08
41896307.wav,This coat does not suit me,This coat does not suit me,0.0,0.0
41896313.wav,I am a girl,I am a girl,0.0,0.0
41901108.wav,A cow dies every day,One cow dies everyday,60.0,20.0
