filename,reference,hypothesis,references_normalized,hypothesis_normalized,sample_wer_%,sample_cer_%
41893803.wav,There are potatoes in this sac,There are potatoes in this garden,there are potatoes in this sac,there are potatoes in this garden,16.67,16.67
41894051.wav,I will not go to the party,I will not go to the party,i will not go to the party,i will not go to the party,0.0,0.0
41894116.wav,The goat gave birth to twin babies,The Goat gave birth to two kids,the goat gave birth to twin babies,the goat gave birth to two kids,28.57,17.65
41894164.wav,It was her ring,It was her ring,it was her ring,it was her ring,0.0,0.0
41894181.wav,Which way should i chose,Which route should I take?,which way should i chose,which route should i take,40.0,37.5
41894271.wav,I miss you,You are making me feel sick,i miss you,you are making me feel sick,200.0,230.0
41894325.wav,I will warm up the boy,The boy was scolded,i will warm up the boy,the boy was scolded,100.0,81.82
41894365.wav,Its windy,It is windy,its windy,it is windy,100.0,22.22
41894368.wav,"when the cat saw the old lady, It ran to eat the mouse","After seeing the old woman, the cat ran to eat the mouse",when the cat saw the old lady it ran to eat the mouse,after seeing the old woman the cat ran to eat the mouse,53.85,45.28
41894447.wav,sit down,Sit down,sit down,sit down,0.0,0.0
41894481.wav,I brush my teeth twice everyday,I brush my teeth twice everyday,i brush my teeth twice everyday,i brush my teeth twice everyday,0.0,0.0
41895634.wav,congratulations,Congratulations,congratulations,congratulations,0.0,0.0
41895636.wav,I am dead,EyRam,i am dead,eyram,100.0,88.89
41895643.wav,I also enjoy listening to stories,I also enjoy stories,i also enjoy listening to stories,i also enjoy stories,33.33,39.39
41895650.wav,My house is small,My house is small,my house is small,my house is small,0.0,0.0
41895656.wav,It is 9:30,It is half past nine,it is 930,it is half past nine,100.0,155.56
41895662.wav,Snowflakes are falling,He is getting closer,snowflakes are falling,he is getting closer,133.33,86.36
41895675.wav,There is a comb,There is a comb,there is a comb,there is a comb,0.0,0.0
41895684.wav,I finished my rice when the tailor called,The tailor who bought the rice made me eat rice.,i finished my rice when the tailor called,the tailor who bought the rice made me eat rice,112.5,87.8
41895685.wav,I am drinking wine,I am drinking wine.,i am drinking wine,i am drinking wine,0.0,0.0
41895687.wav,I always buy food,I buy food everyday,i always buy food,i buy food everyday,50.0,94.12
41896109.wav,He is lost,He fell down.,he is lost,he fell down,66.67,70.0
41896146.wav,I have one rupee,I have one rupee.,i have one rupee,i have one rupee,0.0,0.0
41896167.wav,The horse disappeared from under her,It disappeared from the horse.,the horse disappeared from under her,it disappeared from the horse,66.67,44.44
41896168.wav,Apricot juice is best during summers.,Dry apricot juice is very refreshing in spring,apricot juice is best during summers,dry apricot juice is very refreshing in spring,83.33,58.33
41896173.wav,Where have you come from?,Where have you come from?,where have you come from,where have you come from,0.0,0.0
