filename,reference,hypothesis,references_normalized,hypothesis_normalized,sample_wer_%,sample_cer_%
41893803.wav,There are potatoes in this sac,These are potatoes in the pot.,there are potatoes in this sac,these are potatoes in the pot,50.0,20.0
41894051.wav,I will not go to the party,I will not go to the party.,i will not go to the party,i will not go to the party,0.0,0.0
41894116.wav,The goat gave birth to twin babies,The goat has two goats,the goat gave birth to twin babies,the goat has two goats,71.43,52.94
41894164.wav,It was her ring,She had a belly button.,it was her ring,she had a belly button,125.0,113.33
41894181.wav,Which way should i chose,I will take care of Amit.,which way should i chose,i will take care of amit,120.0,87.5
41894271.wav,I miss you,You are making me feel bad.,i miss you,you are making me feel bad,200.0,220.0
41894325.wav,I will warm up the boy,The boy got angry.,i will warm up the boy,the boy got angry,100.0,81.82
41894365.wav,Its windy,It is windy.,its windy,it is windy,100.0,22.22
41894368.wav,"when the cat saw the old lady, It ran to eat the mouse",The cat ran to the cat's room.,when the cat saw the old lady it ran to eat the mouse,the cat ran to the cats room,69.23,64.15
41894447.wav,sit down,Sit down,sit down,sit down,0.0,0.0
41894481.wav,I brush my teeth twice everyday,I brush my teeth twice a day.,i brush my teeth twice everyday,i brush my teeth twice a day,33.33,16.13
41895634.wav,congratulations,Congratulations.,congratulations,congratulations,0.0,0.0
41895636.wav,I am dead,O my son,i am dead,o my son,100.0,77.78
41895643.wav,I also enjoy listening to stories,I enjoy listening to stories.,i also enjoy listening to stories,i enjoy listening to stories,16.67,15.15
41895650.wav,My house is small,I have a small house.,my house is small,i have a small house,100.0,76.47
41895656.wav,It is 9:30,It is 9 o'clock.,it is 930,it is 9 oclock,66.67,77.78
41895662.wav,Snowflakes are falling,We are going there.,snowflakes are falling,we are going there,100.0,81.82
41895675.wav,There is a comb,There is one man.,there is a comb,there is one man,50.0,40.0
41895684.wav,I finished my rice when the tailor called,I ate rice and the tailor called me.,i finished my rice when the tailor called,i ate rice and the tailor called me,50.0,41.46
41895685.wav,I am drinking wine,I am hungry.,i am drinking wine,i am hungry,50.0,61.11
41895687.wav,I always buy food,I eat food every day.,i always buy food,i eat food every day,100.0,88.24
41896109.wav,He is lost,He is in his house.,he is lost,he is in his house,100.0,100.0
41896146.wav,I have one rupee,I have money,i have one rupee,i have money,50.0,43.75
41896167.wav,The horse disappeared from under her,He disappeared from the house.,the horse disappeared from under her,he disappeared from the house,66.67,41.67
41896168.wav,Apricot juice is best during summers.,Garukim and chamus are very tasty.,apricot juice is best during summers,garukim and chamus are very tasty,100.0,83.33
41896173.wav,Where have you come from?,Where have you been?,where have you come from,where have you been,40.0,33.33
41896181.wav,Dont panic,Don’t make me angry.,dont panic,don’t make me angry,200.0,120.0
41896209.wav,Close the door,Close the door.,close the door,close the door,0.0,0.0
41896224.wav,"Seeing him, the old woman was shocked",He went to the old lady’s house.,seeing him the old woman was shocked,he went to the old lady’s house,85.71,52.78
41896233.wav,What is its price?/How much is it?,How much is this for?,what is its pricehow much is it,how much is this for,85.71,74.19
41896253.wav,You ask him,From him to you.,you ask him,from him to you,133.33,109.09
41896258.wav,Go to your room,Go to your room.,go to your room,go to your room,0.0,0.0
41896262.wav,How are you cooking the flatbread(roti/chapati),How much will you charge for the food?,how are you cooking the flatbreadrotichapati,how much will you charge for the food,83.33,72.73
41896275.wav,I will not go,I will not go.,i will not go,i will not go,0.0,0.0
41896277.wav,There are two women,There are two women,there are two women,there are two women,0.0,0.0
41896286.wav,I will eat rice,I will eat rice.,i will eat rice,i will eat rice,0.0,0.0
41896294.wav,I am your husband,I am in front of you.,i am your husband,i am in front of you,100.0,82.35
41896304.wav,The leaf in my hand tore.,The leaf in my hand got torn.,the leaf in my hand tore,the leaf in my hand got torn,33.33,20.83
41896309.wav,What did it do?,What did he do?,what did it do,what did he do,25.0,14.29
41896312.wav,From where was a girl matched for him?,Where is the girl who is girl?,from where was a girl matched for him,where is the girl who is girl,75.0,59.46
41901108.wav,A cow dies every day,One cow dies everyday.,a cow dies every day,one cow dies everyday,60.0,20.0
41901129.wav,He used to eat one child every day,The day was the day of the baby.,he used to eat one child every day,the day was the day of the baby,100.0,67.65
41901138.wav,I want to leave/go,I want to go.,i want to leavego,i want to go,25.0,29.41
41901148.wav,We neither ate nor slept,We neither ate nor slept.,we neither ate nor slept,we neither ate nor slept,0.0,0.0
41901149.wav,The sun has risen,I am sick,the sun has risen,i am sick,100.0,76.47
41901162.wav,what are these?,What are these?,what are these,what are these,0.0,0.0
41901170.wav,She is asking a question from us,She is asking us a question.,she is asking a question from us,she is asking us a question,42.86,34.38
41901171.wav,I don’t enjoy it here,I am not enjoying here.,i don’t enjoy it here,i am not enjoying here,60.0,33.33
41901284.wav,This is a story,This is my story,this is a story,this is my story,25.0,13.33
41901291.wav,These men came yesterday,These men came yesterday.,these men came yesterday,these men came yesterday,0.0,0.0
41901293.wav,Electricity will be available in Hunza,Hunza is eating spicy food.,electricity will be available in hunza,hunza is eating spicy food,100.0,81.58
41901296.wav,"During winter, they really enjoyed listening to stories on long nights",He was very good at stories.,during winter they really enjoyed listening to stories on long nights,he was very good at stories,90.91,72.46
41901303.wav,Get well soon,You have to walk early.,get well soon,you have to walk early,166.67,123.08
41901317.wav,Grandfather was very tall,Grandpa was very tall.,grandfather was very tall,grandpa was very tall,25.0,20.0
41901342.wav,My Houses are bigger than all.,I really like the smell of the smell.,my houses are bigger than all,i really like the smell of the smell,133.33,93.1
41901350.wav,Wind complaint to the bird.,The wind complained to the bird.,wind complaint to the bird,the wind complained to the bird,40.0,23.08
41901366.wav,He did not get her name.,He couldn’t find out her name.,he did not get her name,he couldn’t find out her name,50.0,56.52
41901373.wav,There are so many stars in the sky,There are many stars in the sky.,there are so many stars in the sky,there are many stars in the sky,12.5,8.82
41901376.wav,Une ka mila numan shuan gaichimi,Nice meeting you.,une ka mila numan shuan gaichimi,nice meeting you,100.0,81.25
41901377.wav,"No, thank you, I’m just looking","No, thank you. I am full.",no thank you i’m just looking,no thank you i am full,50.0,41.38
41901389.wav,I will leave after school,I will walk after school.,i will leave after school,i will walk after school,20.0,16.0
41901392.wav,"He’s a big, bulky guy",He is a naughty boy.,he’s a big bulky guy,he is a naughty boy,100.0,60.0
41901393.wav,I love snowfall,I like snowfall a lot.,i love snowfall,i like snowfall a lot,100.0,53.33
41901394.wav,That red book on the table is mine,The book on the table is mine.,that red book on the table is mine,the book on the table is mine,25.0,14.71
41901401.wav,The milk got spilled,The milk boiled over.,the milk got spilled,the milk boiled over,50.0,45.0
41901407.wav,I asked her to boil the water,I told her to boil the water.,i asked her to boil the water,i told her to boil the water,14.29,13.79
41901409.wav,He was mad at me,He got angry at me.,he was mad at me,he got angry at me,40.0,50.0
41906073.wav,The plane took off,The airplane flew.,the plane took off,the airplane flew,75.0,61.11
41906096.wav,Grandfather used to tell me that he always saw grandmother in his dreams,Grandfather used to say that his father always used to live in the village.,grandfather used to tell me that he always saw grandmother in his dreams,grandfather used to say that his father always used to live in the village,69.23,50.0
41906109.wav,He did not die,I am tired.,he did not die,i am tired,100.0,78.57
41909219.wav,Listen to me,Listen to me.,listen to me,listen to me,0.0,0.0
41909243.wav,"Go straight from here, it will come on the left","If you walk too far, you will fall down.",go straight from here it will come on the left,if you walk too far you will fall down,100.0,73.91
41909268.wav,The sun has risen,The sun rose.,the sun has risen,the sun rose,50.0,35.29
41909270.wav,There’s a knock on the door,There is a knock on the door.,there’s a knock on the door,there is a knock on the door,33.33,7.41
