filename,reference,hypothesis,references_normalized,hypothesis_normalized,sample_wer_%,sample_cer_%
41893803.wav,There are potatoes in this sac,There are potatoes in this bag,there are potatoes in this sac,there are potatoes in this bag,16.67,6.67
41894051.wav,I will not go to the party,I won’t go to the party,i will not go to the party,i won’t go to the party,28.57,19.23
41894116.wav,The goat gave birth to twin babies,The goat gave birth to twin kids.,the goat gave birth to twin babies,the goat gave birth to twin kids,14.29,11.76
41894164.wav,It was her ring,This was her ring,it was her ring,this was her ring,25.0,20.0
41894181.wav,Which way should i chose,Which route should I take?,which way should i chose,which route should i take,40.0,37.5
41894271.wav,I miss you,You are not listening to me,i miss you,you are not listening to me,200.0,220.0
41894325.wav,I will warm up the boy,I will heat the boy,i will warm up the boy,i will heat the boy,33.33,31.82
41894365.wav,Its windy,It is windy,its windy,it is windy,100.0,22.22
41894368.wav,"when the cat saw the old lady, It ran to eat the mouse",The old woman saw the cat running to eat the mouse,when the cat saw the old lady it ran to eat the mouse,the old woman saw the cat running to eat the mouse,53.85,41.51
41894447.wav,sit down,Sit down,sit down,sit down,0.0,0.0
41894481.wav,I brush my teeth twice everyday,I brush my teeth twice a day,i brush my teeth twice everyday,i brush my teeth twice a day,33.33,16.13
41895634.wav,congratulations,Congratulations,congratulations,congratulations,0.0,0.0
41895636.wav,I am dead,I died,i am dead,i died,66.67,55.56
41895643.wav,I also enjoy listening to stories,I also enjoy stories,i also enjoy listening to stories,i also enjoy stories,33.33,39.39
41895650.wav,My house is small,I have a small house,my house is small,i have a small house,100.0,76.47
41895656.wav,It is 9:30,It is half past nine,it is 930,it is half past nine,100.0,155.56
41895662.wav,Snowflakes are falling,There are people,snowflakes are falling,there are people,66.67,72.73
41895675.wav,There is a comb,There is a comb,there is a comb,there is a comb,0.0,0.0
41895684.wav,I finished my rice when the tailor called,Tailor called when I just finished eating a bowl of rice.,i finished my rice when the tailor called,tailor called when i just finished eating a bowl of rice,125.0,104.88
41895685.wav,I am drinking wine,I am drinking wine,i am drinking wine,i am drinking wine,0.0,0.0
41895687.wav,I always buy food,I buy food everyday,i always buy food,i buy food everyday,50.0,94.12
41896109.wav,He is lost,He fell down.,he is lost,he fell down,66.67,70.0
41896146.wav,I have one rupee,I have one rupee,i have one rupee,i have one rupee,0.0,0.0
41896167.wav,The horse disappeared from under her,He disappeared from beneath the horse,the horse disappeared from under her,he disappeared from beneath the horse,83.33,52.78
41896168.wav,Apricot juice is best during summers.,Traditional apricot juice made in spring tastes the best,apricot juice is best during summers,traditional apricot juice made in spring tastes the best,116.67,91.67
41896173.wav,Where have you come from?,Where have you come from,where have you come from,where have you come from,0.0,0.0
41896181.wav,Dont panic,Don’t rush,dont panic,don’t rush,100.0,60.0
41896209.wav,Close the door,Close the door,close the door,close the door,0.0,0.0
41896224.wav,"Seeing him, the old woman was shocked","He saw that, and ran away",seeing him the old woman was shocked,he saw that and ran away,100.0,69.44
41896233.wav,What is its price?/How much is it?,What is this for?,what is its pricehow much is it,what is this for,71.43,61.29
41896253.wav,You ask him,You ask from him,you ask him,you ask from him,33.33,45.45
41896258.wav,Go to your room,Go to your room,go to your room,go to your room,0.0,0.0
41896262.wav,How are you cooking the flatbread(roti/chapati),How do you cook food?,how are you cooking the flatbreadrotichapati,how do you cook food,66.67,63.64
41896275.wav,I will not go,I won’t go,i will not go,i won’t go,50.0,38.46
41896277.wav,There are two women,There are two women.,there are two women,there are two women,0.0,0.0
41896286.wav,I will eat rice,I will eat rice,i will eat rice,i will eat rice,0.0,0.0
